,ID State,State,ID Year,Year,Population,Slug State,Region
352,04000US45,South Carolina,2014,2014,4727273,south-carolina,South
353,04000US46,South Dakota,2014,2014,834708,south-dakota,Midwest
354,04000US47,Tennessee,2014,2014,6451365,tennessee,South
355,04000US48,Texas,2014,2014,26092033,texas,Southwest
356,04000US49,Utah,2014,2014,2858111,utah,West
357,04000US50,Vermont,2014,2014,626358,vermont,NewEngland
358,04000US51,Virginia,2014,2014,8185131,virginia,South
359,04000US53,Washington,2014,2014,6899123,washington,West
360,04000US54,West Virginia,2014,2014,1853881,west-virginia,South
361,04000US55,Wisconsin,2014,2014,5724692,wisconsin,Midwest
362,04000US56,Wyoming,2014,2014,575251,wyoming,West
363,04000US72,Puerto Rico,2014,2014,3638965,puerto-rico,Other
364,04000US01,Alabama,2013,2013,4799277,alabama,South
365,04000US02,Alaska,2013,2013,720316,alaska,West
366,04000US04,Arizona,2013,2013,6479703,arizona,Southwest
367,04000US05,Arkansas,2013,2013,2933369,arkansas,South
368,04000US06,California,2013,2013,37659181,california,West
369,04000US08,Colorado,2013,2013,5119329,colorado,West
370,04000US09,Connecticut,2013,2013,3583561,connecticut,NewEngland
371,04000US10,Delaware,2013,2013,908446,delaware,MiddleAtlantic
372,04000US11,District of Columbia,2013,2013,619371,district-of-columbia,Other
373,04000US12,Florida,2013,2013,19091156,florida,South
374,04000US13,Georgia,2013,2013,9810417,georgia,South
375,04000US15,Hawaii,2013,2013,1376298,hawaii,West
376,04000US16,Idaho,2013,2013,1583364,idaho,West
377,04000US17,Illinois,2013,2013,12848554,illinois,Midwest
378,04000US18,Indiana,2013,2013,6514861,indiana,Midwest
379,04000US19,Iowa,2013,2013,3062553,iowa,Midwest
380,04000US20,Kansas,2013,2013,2868107,kansas,Midwest
381,04000US21,Kentucky,2013,2013,4361333,kentucky,South
382,04000US22,Louisiana,2013,2013,4567968,louisiana,South
383,04000US23,Maine,2013,2013,1328320,maine,NewEngland
384,04000US24,Maryland,2013,2013,5834299,maryland,MiddleAtlantic
385,04000US25,Massachusetts,2013,2013,6605058,massachusetts,NewEngland
386,04000US26,Michigan,2013,2013,9886095,michigan,Midwest
387,04000US27,Minnesota,2013,2013,5347740,minnesota,Midwest
388,04000US28,Mississippi,2013,2013,2976872,mississippi,South
389,04000US29,Missouri,2013,2013,6007182,missouri,South
390,04000US30,Montana,2013,2013,998554,montana,West
391,04000US31,Nebraska,2013,2013,1841625,nebraska,Midwest
392,04000US32,Nevada,2013,2013,2730066,nevada,West
393,04000US33,New Hampshire,2013,2013,1319171,new-hampshire,NewEngland
394,04000US34,New Jersey,2013,2013,8832406,new-jersey,MiddleAtlantic
395,04000US35,New Mexico,2013,2013,2069706,new-mexico,Southwest
396,04000US36,New York,2013,2013,19487053,new-york,MiddleAtlantic
397,04000US37,North Carolina,2013,2013,9651380,north-carolina,South
398,04000US38,North Dakota,2013,2013,689781,north-dakota,Midwest
399,04000US39,Ohio,2013,2013,11549590,ohio,Midwest
400,04000US40,Oklahoma,2013,2013,3785742,oklahoma,Southwest
401,04000US41,Oregon,2013,2013,3868721,oregon,West
402,04000US42,Pennsylvania,2013,2013,12731381,pennsylvania,MiddleAtlantic
403,04000US44,Rhode Island,2013,2013,1051695,rhode-island,NewEngland
404,04000US45,South Carolina,2013,2013,4679602,south-carolina,South
405,04000US46,South Dakota,2013,2013,825198,south-dakota,Midwest
406,04000US47,Tennessee,2013,2013,6402387,tennessee,South
407,04000US48,Texas,2013,2013,25639373,texas,Southwest
408,04000US49,Utah,2013,2013,2813673,utah,West
409,04000US50,Vermont,2013,2013,625904,vermont,NewEngland
410,04000US51,Virginia,2013,2013,8100653,virginia,South
411,04000US53,Washington,2013,2013,6819579,washington,West
412,04000US54,West Virginia,2013,2013,1853619,west-virginia,South
413,04000US55,Wisconsin,2013,2013,5706871,wisconsin,Midwest
414,04000US56,Wyoming,2013,2013,570134,wyoming,West
415,04000US72,Puerto Rico,2013,2013,3682966,puerto-rico,Other
